"","Location","Family","reared_wild","TreatmentTank","CG_temp","Resp_temp","Run","Tank","Probe","Vr_ml","Va_ml","length_mm","Ma_g","num_per_resp","Comments.x","data_notebook_time","data_notebook_DO","qmbl_file_DO_number","qmbl_file","back_slope","back_slope_corr","slope1","corr_slope1","slope2","corr_slope2","slope3","corr_slope3","Comments.y","mean_slope","DO_Slope_mg_L_min","VO2"
"22","Sagavanirktok","O2","reared","T2","12","8","2","4","12",204.2,0.258,34.94,0.258,1,NA,3.3,9.59,"DO2","R2_T4_P101112_08_05_2017",-0.005227,-0.8889,-0.01102,-0.9929,-0.01032,-0.9882,-0.008314,-0.9909,NA,-0.00988466666666667,-0.00465766666666667,0.220905547751938
"23","Sagavanirktok","O6","reared","T3","16","16","3","1","1",201.8,0.315,38.93,0.315,1,NA,7.7,8.19,"DO3","R3_T1_P123_08_06_2017",-0.01076,-0.993,-0.024,-0.9947,-0.02255,-0.9976,-0.01725,-0.9969,NA,-0.0212666666666667,-0.0105066666666667,0.403225853968254
"24","Sagavanirktok","O6","reared","T3","16","16","3","1","2",201.6,0.236,34.33,0.236,1,NA,7.7,8.02,"DO2","R3_T1_P123_08_06_2017",-0.01068,-0.9955,-0.01725,-0.9902,-0.01618,-0.9951,-0.01366,-0.986,NA,-0.0156966666666667,-0.00501666666666667,0.256824423728814
"25","Kuparuk","K5","reared","T3","16","16","3","1","3",199.2,0.43,43.1,0.43,1,NA,7.7,8.26,"DO1","R3_T1_P123_08_06_2017",-0.007064,-0.9883,-0.03473,-0.9896,-0.02286,-0.9885,-0.01349,-0.9904,NA,-0.0236933333333333,-0.0166293333333333,0.461220360930232
"26","Sagavanirktok","O6","reared","T2","12","12","3","2","4",200,0.191,33.26,0.191,1,NA,7.7,9.42,"DO2","R3_T2_P46_08_06_2017",-0.005067,-0.9738,-0.01225,-0.9763,-0.01396,-0.995,-0.01175,-0.9941,NA,-0.0126533333333333,-0.00758633333333333,0.476173092251309
"27","Kuparuk","K3","reared","T2","12","12","3","2","6",203.6,0.165,32.36,0.165,1,NA,7.7,9.27,"DO1","R3_T2_P46_08_06_2017",-0.004404,-0.9682,-0.01113,-0.9827,-0.009957,-0.9865,-0.005719,-0.981,NA,-0.00893533333333334,-0.00453133333333334,0.335211562424243
"28","Sagavanirktok","O5","reared","T2","12","12","3","3","7",204,0.288,38.69,0.288,1,NA,7.7,8.8,"DO1","R3_T3_P789_08_06_2017",-0.007424,-0.989,-0.01869,-0.9862,-0.01606,-0.9958,-0.01209,-0.9971,NA,-0.0156133333333333,-0.00818933333333333,0.347555306666667
"29","Kuparuk","K11","reared","T2","12","12","3","3","8",204.2,0.26,34.73,0.26,1,NA,7.7,9.44,"DO2","R3_T3_P789_08_06_2017",-0.007922,-0.9882,-0.01477,-0.9874,-0.0145,-0.9932,-0.009658,-0.9924,NA,-0.012976,-0.005054,0.237856790769231
"30","Kuparuk","K7","reared","T2","12","12","3","3","9",202.8,0.335,33.97,0.335,1,NA,7.7,8.99,"DO3","R3_T3_P789_08_06_2017",-0.008484,-0.9881,-0.01879,-0.9875,-0.01697,-0.9964,-0.0124,-0.9967,NA,-0.0160533333333333,-0.00756933333333333,0.274482102686567
"31","Kuparuk","K16","reared","T1","8","8","3","4","10",202.4,0.198,NA,0.198,4,NA,7.7,9.56,"DO3","R3_T4_P101112_08_06_2017",-0.004468,-0.9101,-0.01146,-0.9783,-0.01374,-0.9953,-0.008964,-0.9894,NA,-0.011388,-0.00692,0.424011466666667
