"","TreatmentTank","Location","Family","ID","Date","days.post.fert","Initial.num.indiv.calc","num.fry","num.hatchlings","perc.hatched","perc.hatchedHG","num.remaining.calc"
"244","T1","Kup","K04","K04_8",2017-06-18,5,349,0,0,0,0,344
"245","T1","Kup","K05","K05_8",2017-06-18,5,345,0,0,0,0,344
"246","T1","Kup","K06","K06_8",2017-06-18,5,229,0,0,0,0,117
"247","T1","Kup","K07","K07_8",2017-06-18,5,349,0,0,0,0,344
"248","T1","Kup","K08","K08_8",2017-06-18,5,349,0,0,0,0,343
"249","T1","Kup","K09","K09_8",2017-06-18,5,349,0,0,0,0,344
"250","T1","Kup","K10","K10_8",2017-06-18,5,345,0,0,0,0,338
"251","T1","Kup","K11","K11_8",2017-06-18,5,346,0,0,0,0,341
"252","T1","Kup","K12","K12_8",2017-06-18,5,349,0,0,0,0,341
"253","T1","Kup","K13","K13_8",2017-06-18,5,347,0,0,0,0,336
"254","T1","Kup","K14","K14_8",2017-06-18,5,349,0,0,0,0,343
"255","T1","Kup","K15","K15_8",2017-06-18,5,350,0,0,0,0,345
"256","T1","Kup","K16","K16_8",2017-06-18,5,342,0,0,0,0,337
"257","T2","Kup","K01","K01_12",2017-06-18,5,346,0,0,0,0,337
"258","T2","Kup","K02","K02_12",2017-06-18,5,344,0,0,0,0,333
"259","T2","Kup","K03","K03_12",2017-06-18,5,346,0,0,0,0,336
"260","T2","Kup","K04","K04_12",2017-06-18,5,344,0,0,0,0,334
"261","T2","Kup","K05","K05_12",2017-06-18,5,323,0,0,0,0,316
"262","T2","Kup","K06","K06_12",2017-06-18,5,139,0,0,0,0,125
"263","T2","Kup","K07","K07_12",2017-06-18,5,346,0,0,0,0,337
"264","T2","Kup","K08","K08_12",2017-06-18,5,344,0,0,0,0,338
"265","T2","Kup","K09","K09_12",2017-06-18,5,348,0,0,0,0,342
"266","T2","Kup","K10","K10_12",2017-06-18,5,339,0,0,0,0,331
"267","T2","Kup","K11","K11_12",2017-06-18,5,347,0,0,0,0,342
"268","T2","Kup","K12","K12_12",2017-06-18,5,348,0,0,0,0,343
"269","T2","Kup","K13","K13_12",2017-06-18,5,335,0,0,0,0,330
"270","T2","Kup","K14","K14_12",2017-06-18,5,348,0,0,0,0,343
"271","T2","Kup","K15","K15_12",2017-06-18,5,345,0,0,0,0,338
"272","T2","Kup","K16","K16_12",2017-06-18,5,341,0,0,0,0,332
"273","T3","Kup","K01","K01_16",2017-06-18,5,246,0,0,0,0,212
"274","T3","Kup","K02","K02_16",2017-06-18,5,282,0,0,0,0,271
"275","T3","Kup","K03","K03_16",2017-06-18,5,338,0,0,0,0,329
"276","T3","Kup","K04","K04_16",2017-06-18,5,342,0,0,0,0,322
"277","T3","Kup","K05","K05_16",2017-06-18,5,332,0,0,0,0,327
"278","T3","Kup","K06","K06_16",2017-06-18,5,73,0,0,0,0,58
"279","T3","Kup","K07","K07_16",2017-06-18,5,334,0,0,0,0,328
"280","T3","Kup","K08","K08_16",2017-06-18,5,330,0,0,0,0,324
"281","T3","Kup","K09","K09_16",2017-06-18,5,312,0,0,0,0,307
"282","T3","Kup","K10","K10_16",2017-06-18,5,104,0,0,0,0,89
"283","T3","Kup","K11","K11_16",2017-06-18,5,332,0,0,0,0,327
"284","T3","Kup","K12","K12_16",2017-06-18,5,304,0,0,0,0,298
"285","T3","Kup","K13","K13_16",2017-06-18,5,266,0,0,0,0,244
"286","T3","Kup","K14","K14_16",2017-06-18,5,335,0,0,0,0,328
"287","T3","Kup","K15","K15_16",2017-06-18,5,325,0,0,0,0,314
"288","T3","Kup","K16","K16_16",2017-06-18,5,326,0,0,0,0,313
"289","T1","Kup","K01","K01_8",2017-06-19,6,340,0,0,0,0,336
"290","T1","Kup","K02","K02_8",2017-06-19,6,337,0,0,0,0,334
"291","T1","Kup","K03","K03_8",2017-06-19,6,340,0,0,0,0,340
"292","T1","Kup","K04","K04_8",2017-06-19,6,344,0,0,0,0,341
"293","T1","Kup","K05","K05_8",2017-06-19,6,344,0,0,0,0,344
"294","T1","Kup","K06","K06_8",2017-06-19,6,117,0,0,0,0,99
"295","T1","Kup","K07","K07_8",2017-06-19,6,344,0,0,0,0,342
"296","T1","Kup","K08","K08_8",2017-06-19,6,343,0,0,0,0,342
"297","T1","Kup","K09","K09_8",2017-06-19,6,344,0,0,0,0,344
"298","T1","Kup","K10","K10_8",2017-06-19,6,338,0,0,0,0,332
"299","T1","Kup","K11","K11_8",2017-06-19,6,341,0,0,0,0,339
"300","T1","Kup","K12","K12_8",2017-06-19,6,341,0,0,0,0,341
"301","T1","Kup","K13","K13_8",2017-06-19,6,336,0,0,0,0,336
"302","T1","Kup","K14","K14_8",2017-06-19,6,343,0,0,0,0,339
"303","T1","Kup","K15","K15_8",2017-06-19,6,350,0,0,0,0,350
"304","T1","Kup","K16","K16_8",2017-06-19,6,337,0,0,0,0,337
"305","T2","Kup","K01","K01_12",2017-06-19,6,337,0,0,0,0,336
"306","T2","Kup","K02","K02_12",2017-06-19,6,333,0,0,0,0,330
"307","T2","Kup","K03","K03_12",2017-06-19,6,336,0,0,0,0,336
"308","T2","Kup","K04","K04_12",2017-06-19,6,334,0,0,0,0,331
"309","T2","Kup","K05","K05_12",2017-06-19,6,316,0,0,0,0,314
"310","T2","Kup","K06","K06_12",2017-06-19,6,125,0,0,0,0,123
"311","T2","Kup","K07","K07_12",2017-06-19,6,337,0,0,0,0,337
"312","T2","Kup","K08","K08_12",2017-06-19,6,338,0,0,0,0,338
"313","T2","Kup","K09","K09_12",2017-06-19,6,342,0,0,0,0,341
"314","T2","Kup","K10","K10_12",2017-06-19,6,331,0,0,0,0,329
"315","T2","Kup","K11","K11_12",2017-06-19,6,342,0,0,0,0,340
"316","T2","Kup","K12","K12_12",2017-06-19,6,343,0,0,0,0,343
"317","T2","Kup","K13","K13_12",2017-06-19,6,330,0,0,0,0,328
"318","T2","Kup","K14","K14_12",2017-06-19,6,343,0,0,0,0,341
"319","T2","Kup","K15","K15_12",2017-06-19,6,338,0,0,0,0,337
"320","T2","Kup","K16","K16_12",2017-06-19,6,332,0,0,0,0,329
"321","T3","Kup","K01","K01_16",2017-06-19,6,212,0,0,0,0,207
"322","T3","Kup","K02","K02_16",2017-06-19,6,271,0,0,0,0,269
"323","T3","Kup","K03","K03_16",2017-06-19,6,329,0,0,0,0,328
"324","T3","Kup","K04","K04_16",2017-06-19,6,322,0,0,0,0,312
"325","T3","Kup","K05","K05_16",2017-06-19,6,327,0,0,0,0,322
"326","T3","Kup","K06","K06_16",2017-06-19,6,58,0,0,0,0,57
"327","T3","Kup","K07","K07_16",2017-06-19,6,328,0,0,0,0,327
"328","T3","Kup","K08","K08_16",2017-06-19,6,324,0,0,0,0,320
"329","T3","Kup","K09","K09_16",2017-06-19,6,307,0,0,0,0,307
"330","T3","Kup","K10","K10_16",2017-06-19,6,89,0,0,0,0,74
"331","T3","Kup","K11","K11_16",2017-06-19,6,327,0,0,0,0,325
"332","T3","Kup","K12","K12_16",2017-06-19,6,298,0,0,0,0,298
"333","T3","Kup","K13","K13_16",2017-06-19,6,244,0,0,0,0,231
"334","T3","Kup","K14","K14_16",2017-06-19,6,328,0,0,0,0,324
"335","T3","Kup","K15","K15_16",2017-06-19,6,314,0,0,0,0,309
"336","T3","Kup","K16","K16_16",2017-06-19,6,313,0,0,0,0,313
"337","T1","Kup","K01","K01_8",2017-06-20,7,336,0,0,0,0,336
"338","T1","Kup","K02","K02_8",2017-06-20,7,334,0,0,0,0,329
"339","T1","Kup","K03","K03_8",2017-06-20,7,340,0,0,0,0,340
"340","T1","Kup","K04","K04_8",2017-06-20,7,341,0,0,0,0,340
"341","T1","Kup","K05","K05_8",2017-06-20,7,344,0,0,0,0,342
"342","T1","Kup","K06","K06_8",2017-06-20,7,99,0,0,0,0,85
"343","T1","Kup","K07","K07_8",2017-06-20,7,342,0,0,0,0,342
"344","T1","Kup","K08","K08_8",2017-06-20,7,342,0,0,0,0,342
"345","T1","Kup","K09","K09_8",2017-06-20,7,344,0,0,0,0,342
"346","T1","Kup","K10","K10_8",2017-06-20,7,332,0,0,0,0,331
"347","T1","Kup","K11","K11_8",2017-06-20,7,339,0,0,0,0,338
"348","T1","Kup","K12","K12_8",2017-06-20,7,341,0,0,0,0,336
"349","T1","Kup","K13","K13_8",2017-06-20,7,336,0,0,0,0,333
"350","T1","Kup","K14","K14_8",2017-06-20,7,339,0,0,0,0,338
"351","T1","Kup","K15","K15_8",2017-06-20,7,350,0,0,0,0,349
"352","T1","Kup","K16","K16_8",2017-06-20,7,337,0,0,0,0,337
