"","HG.checked","TreatmentTemp.C","TreatmentTank","Aquarium","Chamber.num","Location","Family","ID","Fertilization Date","Date","days.post.fert","FertilizationDate.hrs","Date.Time","days.hrs.post.fert","Initial.num.indiv(calc)","indiv.dead","fry.dead","eggs.dead","indiv.sampled","hatch.sampled","swim.sampled","dead.sampled","lost.fish","eyed","eye.sampled","%subsample.eyed","num.fry","% hatched","num.hatchlings","num.swimup","# eggs remaining","# organisms remaining","num.remaining (calc)","image.taken","Comments","General Notes","AP data recording notes"
"62","x",8,"T1","A4",14,"Kup","K14","K14_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,349,"no",NA,NA,NA
"63","x",8,"T1","A4",15,"Kup","K15","K15_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
"64","x",8,"T1","A4",16,"Kup","K16","K16_8",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,343,"yes",NA,NA,NA
"65","x",12,"T2","A1",1,"Kup","K01","K01_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,348,"yes",NA,NA,NA
"66","x",12,"T2","A1",2,"Kup","K02","K02_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,347,"yes",NA,NA,NA
"67","x",12,"T2","A1",3,"Kup","K03","K03_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
"68","x",12,"T2","A1",4,"Kup","K04","K04_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,3,0,3,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,347,"yes",NA,NA,NA
"69","x",12,"T2","A2",5,"Kup","K05","K05_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,15,0,15,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,335,"yes",NA,NA,NA
"70","x",12,"T2","A2",6,"Kup","K06","K06_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,349,"yes",NA,NA,NA
"71","x",12,"T2","A2",7,"Kup","K07","K07_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,349,"yes",NA,NA,NA
"72","x",12,"T2","A2",8,"Kup","K08","K08_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,349,"yes",NA,NA,NA
"73","x",12,"T2","A3",9,"Kup","K09","K09_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
"74","x",12,"T2","A3",10,"Kup","K10","K10_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,5,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,345,"yes",NA,NA,NA
"75","x",12,"T2","A3",11,"Kup","K11","K11_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,349,"yes",NA,NA,NA
"76","x",12,"T2","A3",12,"Kup","K12","K12_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
"77","x",12,"T2","A4",13,"Kup","K13","K13_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
"78","x",12,"T2","A4",14,"Kup","K14","K14_12",2017-06-13,2017-06-14,1,2017-06-13 16:00:00,2017-06-14,0.333333333335759,350,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,350,"yes",NA,NA,NA
