"","tank_aq","Date","temp_C","minimum","maximum","n","v","se","na.rm"
"513","T3_A1",2017-05-27,15.71875,15.125,16,144,0.043597027972028,0.0173999177783873,1
"514","T3_A1",2017-05-28,15.7578125,15.625,16,144,0.0216824191433566,0.0122707927682851,1
"515","T3_A1",2017-05-29,15.6551094890511,15.25,15.875,137,0.0559571570416488,0.0202100569460816,1
"516","T3_A1",2017-05-30,15.6154513888889,15.5,15.75,144,0.0122552144036519,0.0092252726561829,1
"517","T3_A1",2017-05-31,15.5737847222222,15.25,15.75,144,0.0140763099747475,0.0098869688278265,1
"518","T3_A1",2017-06-01,15.5694444444444,15.375,15.875,144,0.0178710178710179,0.0111402105353067,1
"519","T3_A1",2017-06-02,15.5824652777778,15.375,15.875,144,0.0181737750097125,0.0112341786927564,1
"520","T3_A1",2017-06-03,15.4991319444444,15.125,15.75,144,0.0219616537975913,0.0123495540286075,1
"521","T3_A1",2017-06-04,15.3550347222222,15.25,15.5,144,0.00866765612859363,0.00775835397803986,1
"522","T3_A1",2017-06-05,15.3480902777778,15.25,15.5,144,0.00615454424048174,0.00653757528131807,1
"523","T3_A1",2017-06-06,15.4930555555556,15.375,15.75,144,0.00694444444444444,0.00694444444444444,1
"524","T3_A1",2017-06-07,15.4956597222222,15.375,15.75,144,0.0048979882964258,0.00583213576780137,1
"525","T3_A1",2017-06-08,15.5520833333333,15.375,15.75,144,0.00710227272727273,0.0070229152339921,1
"526","T3_A1",2017-06-09,15.490671641791,13,15.875,134,0.0941322522724722,0.0265043297325303,1
"527","T3_A1",2017-06-10,15.8885869565217,15.75,16,46,0.00363073671497585,0.00888420277915886,1
"528","T3_A1",2017-06-17,15.5833333333333,15.5,15.625,24,0.0036231884057971,0.0122868296795748,1
"529","T3_A1",2017-06-18,15.609375,15.125,15.875,144,0.0266335227272727,0.0135998168715389,1
"530","T3_A1",2017-06-19,15.2664930555556,13.125,16.25,144,0.91198569225913,0.0795816183174339,1
"531","T3_A1",2017-06-20,15.7005208333333,15.125,17.25,144,0.106909691870629,0.027247539627795,1
"532","T3_A1",2017-06-21,17.9079861111111,15.625,20.75,144,2.04282913267288,0.119106311425295,1
"533","T3_A1",2017-06-22,15.5512152777778,14.75,17.125,144,0.120938198086636,0.0289801414389899,1
"534","T3_A1",2017-06-23,16.9800347222222,15.125,21.125,144,3.91688443934538,0.164926002753789,1
"535","T3_A1",2017-06-24,15.2456597222222,15,15.375,144,0.0136392470376845,0.00973226557987675,1
"536","T3_A1",2017-06-25,15.3072916666667,15.125,15.625,144,0.0310041520979021,0.014673329948958,1
"537","T3_A1",2017-06-26,15.5407986111111,15.375,15.75,144,0.00848554657148407,0.00767641887512772,1
"538","T3_A1",2017-06-27,15.3472222222222,15.125,15.625,144,0.0169240481740482,0.0108410383414034,1
"539","T3_A1",2017-06-28,15.5138888888889,15.125,16.25,144,0.0279963092463092,0.0139434147256144,1
"540","T3_A1",2017-06-29,15.5902777777778,15.25,15.75,144,0.0202020202020202,0.0118444842419784,1
