length,yolk_vol,animal,dam,sire,treatment,population,z_length,z_yolk_vol
12.445,1.141164659,T1_K010_11,K010,k012,T1,Kup,0.606606607,-0.036779772
12.501,1.434909792,T1_K010_2,K010,k012,T1,Kup,0.690690691,0.337895143
12.273,0.569609537,T1_K010_3,K010,k012,T1,Kup,0.348348348,-0.765804162
12.548,1.434218367,T1_K010_4,K010,k012,T1,Kup,0.761261261,0.337013223
11.833,1.121508691,T1_K010_5,K010,k012,T1,Kup,-0.312312312,-0.061851159
12.179,1.224011422,T1_K010_6,K010,k012,T1,Kup,0.207207207,0.06889212
11.618,1.224117611,T1_K010_7,K010,k012,T1,Kup,-0.635135135,0.069027565
11.89,1.42419598,T1_K010_8,K010,k012,T1,Kup,-0.226726727,0.324229566
12.237,1.38797771,T1_K010_9,K010,k012,T1,Kup,0.294294294,0.278032793
12.986,1.523144883,T1_K011_1,K011,k012,T1,Kup,1.418918919,0.450439902
12.421,0.773491986,T1_K011_10,K011,k012,T1,Kup,0.570570571,-0.505750018
12.47,1.439718356,T1_K011_2,K011,k012,T1,Kup,0.644144144,0.344028515
12.617,1.369547332,T1_K011_3,K011,k012,T1,Kup,0.864864865,0.254524658
12.432,1.424346767,T1_K011_4,K011,k012,T1,Kup,0.587087087,0.324421897
12.976,1.416091973,T1_K011_5,K011,k012,T1,Kup,1.403903904,0.313892823
12.271,0.832536446,T1_K011_6,K011,k012,T1,Kup,0.345345345,-0.430438207
12.418,1.043473547,T1_K011_7,K011,k012,T1,Kup,0.566066066,-0.161385782
12.478,0.929022641,T1_K011_8,K011,k012,T1,Kup,0.656156156,-0.30736908
12.698,1.022867674,T1_K011_9,K011,k012,T1,Kup,0.986486486,-0.187668783
12.574,1.770274327,T1_K013_1,K013,k015,T1,Kup,0.8003003,0.765656029
11.193,1.077230835,T1_K013_10,K013,k015,T1,Kup,-1.273273273,-0.118328017
11.641,0,T1_K013_2,K013,k015,T1,Kup,-0.600600601,-1.492346939
11.698,0.894407925,T1_K013_3,K013,k015,T1,Kup,-0.515015015,-0.351520504
12.296,0.976897032,T1_K013_4,K013,k015,T1,Kup,0.382882883,-0.246304806
12.049,1.187899619,T1_K013_5,K013,k015,T1,Kup,0.012012012,0.022831147
11.38,1.431635965,T1_K013_6,K013,k015,T1,Kup,-0.992492492,0.333719343
11.632,1.01859853,T1_K013_7,K013,k015,T1,Kup,-0.614114114,-0.19311412
11.191,1.051738261,T1_K013_8,K013,k015,T1,Kup,-1.276276276,-0.150844055
11.429,0.974824307,T1_K013_9,K013,k015,T1,Kup,-0.918918919,-0.248948588
11.881,1.529156716,T1_K014_1,K014,k015,T1,Kup,-0.24024024,0.458108056
11.952,0.9022229,T1_K014_10,K014,k015,T1,Kup,-0.133633634,-0.341552423
11.73,1.123234037,T1_K014_2,K014,k015,T1,Kup,-0.466966967,-0.059650463
12.269,1.63414241,T1_K014_3,K014,k015,T1,Kup,0.342342342,0.59201838
11.811,1.436021499,T1_K014_4,K014,k015,T1,Kup,-0.345345345,0.339313136
11.615,0.990704085,T1_K014_5,K014,k015,T1,Kup,-0.63963964,-0.228693769
12.04,1.129814284,T1_K014_6,K014,k015,T1,Kup,-0.001501502,-0.051257291
11.059,1.139771667,T1_K014_7,K014,k015,T1,Kup,-1.474474474,-0.038556547
10.94,0.917694869,T1_K014_8,K014,k015,T1,Kup,-1.653153153,-0.321817769
10.864,0.779620929,T1_K014_9,K014,k015,T1,Kup,-1.767267267,-0.497932489
12.061,0.738487854,T1_K016_1,K016,k018,T1,Kup,0.03003003,-0.550398145
11.012,0.51128626,T1_K016_10,K016,k018,T1,Kup,-1.545045045,-0.840196097
12.178,0.414558897,T1_K016_2,K016,k018,T1,Kup,0.205705706,-0.963572835
12.357,0.667119202,T1_K016_3,K016,k018,T1,Kup,0.474474474,-0.641429589
11.178,0.636304946,T1_K016_4,K016,k018,T1,Kup,-1.295795796,-0.680733487
11.714,0.688952195,T1_K016_5,K016,k018,T1,Kup,-0.490990991,-0.613581384
12.606,0.360046831,T1_K016_6,K016,k018,T1,Kup,0.848348348,-1.033103532
11.113,0.450921251,T1_K016_7,K016,k018,T1,Kup,-1.393393393,-0.917192282
11.448,0.872166548,T1_K016_8,K016,k018,T1,Kup,-0.89039039,-0.379889607
