id,father,mother
T1_K019_2,k021,K019
T1_K019_3,k021,K019
T1_K019_4,k021,K019
T1_K019_5,k021,K019
T1_K019_6,k021,K019
T1_K019_7,k021,K019
T1_K019_8,k021,K019
T1_K019_9,k021,K019
T1_K020_1,k021,K020
T1_K020_10,k021,K020
T1_K020_2,k021,K020
T1_K020_3,k021,K020
T1_K020_4,k021,K020
T1_K020_5,k021,K020
T1_K020_6,k021,K020
T1_K020_7,k021,K020
T1_K020_8,k021,K020
T1_K020_9,k021,K020
T1_K022_1,k024,K022
T1_K022_2,k024,K022
T1_K022_3,k024,K022
T1_K022_4,k024,K022
T1_K022_5,k024,K022
T1_K022_6,k024,K022
T1_K022_7,k024,K022
T1_K022_8,k024,K022
T1_K022_9,k024,K022
T1_K023_1,k024,K023
T1_K023_10,k024,K023
T1_K023_2,k024,K023
T1_K023_3,k024,K023
T1_K023_4,k024,K023
T1_K023_5,k024,K023
T1_K023_6,k024,K023
T1_K023_7,k024,K023
T1_K023_8,k024,K023
T1_K023_9,k024,K023
T1_Oks3-001_1,oks3-008,Oks3-001
T1_Oks3-001_10,oks3-008,Oks3-001
T1_Oks3-001_2,oks3-008,Oks3-001
T1_Oks3-001_3,oks3-008,Oks3-001
T1_Oks3-001_4,oks3-008,Oks3-001
T1_Oks3-001_5,oks3-008,Oks3-001
T1_Oks3-001_6,oks3-008,Oks3-001
T1_Oks3-001_7,oks3-008,Oks3-001
T1_Oks3-001_8,oks3-008,Oks3-001
T1_Oks3-001_9,oks3-008,Oks3-001
T1_Oks3-007_1,oks3-008,Oks3-007
T1_Oks3-007_10,oks3-008,Oks3-007
T1_Oks3-007_2,oks3-008,Oks3-007
T1_Oks3-007_3,oks3-008,Oks3-007
T1_Oks3-007_4,oks3-008,Oks3-007
T1_Oks3-007_5,oks3-008,Oks3-007
T1_Oks3-007_6,oks3-008,Oks3-007
T1_Oks3-007_7,oks3-008,Oks3-007
T1_Oks3-007_8,oks3-008,Oks3-007
T1_Oks3-007_9,oks3-008,Oks3-007
T1_Oks3-010_1,oks3-011,Oks3-010
T2_K001_1,k003,K001
T2_K001_10,k003,K001
T2_K001_2,k003,K001
T2_K001_3,k003,K001
T2_K001_4,k003,K001
T2_K001_5,k003,K001
T2_K001_6,k003,K001
T2_K001_7,k003,K001
T2_K001_8,k003,K001
T2_K001_9,k003,K001
T2_K002_1,k003,K002
T2_K002_10,k003,K002
T2_K002_2,k003,K002
T2_K002_3,k003,K002
T2_K002_4,k003,K002
T2_K002_5,k003,K002
T2_K002_6,k003,K002
T2_K002_7,k003,K002
T2_K002_8,k003,K002
T2_K002_9,k003,K002
T2_K004_1,k006,K004
T2_K004_10,k006,K004
T2_K004_2,k006,K004
T2_K004_3,k006,K004
T2_K004_4,k006,K004
T2_K004_5,k006,K004
T2_K004_6,k006,K004
T2_K004_7,k006,K004
T2_K004_8,k006,K004
T2_K004_9,k006,K004
T2_K005_1,k006,K005
T2_K005_10,k006,K005
T2_K005_2,k006,K005
T2_K005_3,k006,K005
T2_K005_4,k006,K005
T2_K005_5,k006,K005
T2_K005_6,k006,K005
T2_K005_7,k006,K005
T2_K005_8,k006,K005
T2_K005_9,k006,K005
T2_K007_1,k009,K007
T2_K007_10,k009,K007
T2_K007_2,k009,K007
T2_K007_3,k009,K007
T2_K007_4,k009,K007
T2_K007_5,k009,K007
T2_K007_6,k009,K007
T2_K007_7,k009,K007
T2_K007_8,k009,K007
T2_K007_9,k009,K007
T2_K008_1,k009,K008
T2_K008_2,k009,K008
T2_K008_3,k009,K008
T2_K008_4,k009,K008
T2_K008_5,k009,K008
T2_K010_1,k012,K010
T2_K010_10,k012,K010
T2_K010_2,k012,K010
T2_K010_3,k012,K010
T2_K010_4,k012,K010
T2_K010_5,k012,K010
T2_K010_6,k012,K010
T2_K010_7,k012,K010
T2_K010_8,k012,K010
T2_K010_9,k012,K010
T2_K011_1,k012,K011
T2_K011_10,k012,K011
T2_K011_2,k012,K011
T2_K011_3,k012,K011
T2_K011_4,k012,K011
T2_K011_5,k012,K011
T2_K011_6,k012,K011
T2_K011_7,k012,K011
T2_K011_8,k012,K011
T2_K011_9,k012,K011
T2_K013_1,k015,K013
T2_K013_10,k015,K013
T2_K013_2,k015,K013
T2_K013_3,k015,K013
T2_K013_4,k015,K013
T2_K013_5,k015,K013
T2_K013_6,k015,K013
T2_K013_7,k015,K013
T2_K013_8,k015,K013
T2_K013_9,k015,K013
T2_K014_1,k015,K014
T2_K014_10,k015,K014
T2_K014_2,k015,K014
T2_K014_3,k015,K014
T2_K014_4,k015,K014
T2_K014_5,k015,K014
T2_K014_6,k015,K014
T2_K014_7,k015,K014
T2_K014_8,k015,K014
T2_K014_9,k015,K014
T2_K016_1,k018,K016
T2_K016_10,k018,K016
T2_K016_2,k018,K016
T2_K016_3,k018,K016
T2_K016_4,k018,K016
T2_K016_5,k018,K016
T2_K016_6,k018,K016
T2_K016_7,k018,K016
T2_K016_8,k018,K016
T2_K016_9,k018,K016
T2_K017_1,k018,K017
T2_K017_10,k018,K017
T2_K017_2,k018,K017
T2_K017_3,k018,K017
T2_K017_4,k018,K017
T2_K017_5,k018,K017
T2_K017_6,k018,K017
T2_K017_7,k018,K017
T2_K017_8,k018,K017
T2_K017_9,k018,K017
T2_K019_1,k021,K019
T2_K019_10,k021,K019
T2_K019_2,k021,K019
T2_K019_3,k021,K019
T2_K019_4,k021,K019
T2_K019_5,k021,K019
T2_K019_6,k021,K019
T2_K019_7,k021,K019
T2_K019_8,k021,K019
T2_K019_9,k021,K019
T2_K020_1,k021,K020
T2_K020_10,k021,K020
T2_K020_2,k021,K020
T2_K020_3,k021,K020
T2_K020_4,k021,K020
T2_K020_5,k021,K020
T2_K020_6,k021,K020
T2_K020_7,k021,K020
T2_K020_8,k021,K020
T2_K020_9,k021,K020
T2_K022_1,k024,K022
T2_K022_10,k024,K022
T2_K022_2,k024,K022
T2_K022_3,k024,K022
T2_K022_4,k024,K022
T2_K022_5,k024,K022
T2_K022_6,k024,K022
T2_K022_7,k024,K022
T2_K022_8,k024,K022
T2_K022_9,k024,K022
T2_K023_1,k024,K023
T2_K023_10,k024,K023
T2_K023_2,k024,K023
T2_K023_3,k024,K023
T2_K023_4,k024,K023
T2_K023_5,k024,K023
T2_K023_6,k024,K023
T2_K023_7,k024,K023
T2_K023_8,k024,K023
T2_K023_9,k024,K023
T2_Oks3-001_1,oks3-008,Oks3-001
T2_Oks3-001_10,oks3-008,Oks3-001
T2_Oks3-001_2,oks3-008,Oks3-001
T2_Oks3-001_3,oks3-008,Oks3-001
T2_Oks3-001_4,oks3-008,Oks3-001
T2_Oks3-001_5,oks3-008,Oks3-001
T2_Oks3-001_6,oks3-008,Oks3-001
T2_Oks3-001_7,oks3-008,Oks3-001
T2_Oks3-001_8,oks3-008,Oks3-001
T2_Oks3-001_9,oks3-008,Oks3-001
T2_Oks3-007_1,oks3-008,Oks3-007
T2_Oks3-007_10,oks3-008,Oks3-007
T2_Oks3-007_2,oks3-008,Oks3-007
T2_Oks3-007_3,oks3-008,Oks3-007
T2_Oks3-007_4,oks3-008,Oks3-007
T2_Oks3-007_5,oks3-008,Oks3-007
T2_Oks3-007_6,oks3-008,Oks3-007
T2_Oks3-007_7,oks3-008,Oks3-007
T2_Oks3-007_8,oks3-008,Oks3-007
T2_Oks3-007_9,oks3-008,Oks3-007
T2_Oks3-013_1,oks3-014,Oks3-013
T2_Oks3-016_1,oks3-014,Oks3-016
T2_Oks3-016_10,oks3-014,Oks3-016
T2_Oks3-016_2,oks3-014,Oks3-016
T2_Oks3-016_3,oks3-014,Oks3-016
T2_Oks3-016_4,oks3-014,Oks3-016
T2_Oks3-016_5,oks3-014,Oks3-016
T2_Oks3-016_6,oks3-014,Oks3-016
T2_Oks3-016_7,oks3-014,Oks3-016
T2_Oks3-016_8,oks3-014,Oks3-016
T2_Oks3-016_9,oks3-014,Oks3-016
T3_K002_1,k003,K002
T3_K002_2,k003,K002
T3_K002_3,k003,K002
T3_K002_4,k003,K002
T3_K002_5,k003,K002
T3_K004_1,k006,K004
T3_K005_1,k006,K005
T3_K005_10,k006,K005
T3_K005_2,k006,K005
T3_K005_3,k006,K005
T3_K005_4,k006,K005
T3_K005_5,k006,K005
T3_K005_6,k006,K005
T3_K005_7,k006,K005
T3_K005_8,k006,K005
T3_K005_9,k006,K005
T3_K007_1,k009,K007
T3_K007_10,k009,K007
T3_K007_2,k009,K007
T3_K007_3,k009,K007
T3_K007_4,k009,K007
T3_K007_5,k009,K007
T3_K007_6,k009,K007
T3_K007_7,k009,K007
T3_K007_8,k009,K007
T3_K007_9,k009,K007
T3_K010_1,k012,K010
T3_K010_10,k012,K010
T3_K010_2,k012,K010
T3_K010_3,k012,K010
T3_K010_4,k012,K010
T3_K010_5,k012,K010
T3_K010_6,k012,K010
T3_K010_7,k012,K010
T3_K010_8,k012,K010
T3_K010_9,k012,K010
T3_K011_1,k012,K011
T3_K011_10,k012,K011
T3_K011_11,k012,K011
T3_K011_2,k012,K011
T3_K011_3,k012,K011
T3_K011_4,k012,K011
T3_K011_5,k012,K011
T3_K011_6,k012,K011
T3_K011_7,k012,K011
T3_K011_8,k012,K011
T3_K011_9,k012,K011
T3_K023_1,k024,K023
T3_K023_10,k024,K023
T3_K023_2,k024,K023
T3_K023_3,k024,K023
T3_K023_4,k024,K023
T3_K023_5,k024,K023
T3_K023_6,k024,K023
T3_K023_7,k024,K023
T3_K023_8,k024,K023
T3_K023_9,k024,K023
T3_Oks3-001_1,oks3-008,Oks3-001
T3_Oks3-001_10,oks3-008,Oks3-001
T3_Oks3-001_2,oks3-008,Oks3-001
T3_Oks3-001_3,oks3-008,Oks3-001
T3_Oks3-001_4,oks3-008,Oks3-001
T3_Oks3-001_5,oks3-008,Oks3-001
T3_Oks3-001_6,oks3-008,Oks3-001
T3_Oks3-001_7,oks3-008,Oks3-001
T3_Oks3-001_8,oks3-008,Oks3-001
T3_Oks3-001_9,oks3-008,Oks3-001
T3_Oks3-007_1,oks3-008,Oks3-007
T3_Oks3-007_10,oks3-008,Oks3-007
T3_Oks3-007_2,oks3-008,Oks3-007
T3_Oks3-007_3,oks3-008,Oks3-007
T3_Oks3-007_4,oks3-008,Oks3-007
T3_Oks3-007_5,oks3-008,Oks3-007
T3_Oks3-007_6,oks3-008,Oks3-007
T3_Oks3-007_7,oks3-008,Oks3-007
T3_Oks3-007_8,oks3-008,Oks3-007
T3_Oks3-007_9,oks3-008,Oks3-007
T3_Oks3-016_1,oks3-014,Oks3-016
T3_Oks3-016_10,oks3-014,Oks3-016
T3_Oks3-016_2,oks3-014,Oks3-016
T3_Oks3-016_3,oks3-014,Oks3-016
T3_Oks3-016_4,oks3-014,Oks3-016
T3_Oks3-016_5,oks3-014,Oks3-016
T3_Oks3-016_6,oks3-014,Oks3-016
T3_Oks3-016_7,oks3-014,Oks3-016
T3_Oks3-016_8,oks3-014,Oks3-016
T3_Oks3-016_9,oks3-014,Oks3-016
