z_length,z_yolk_vol,animal,treatment,population,length,yolk_vol
-2.225733634,-0.614778657,T1_K014_9,T1,Kup,8.537,2.724426157
1.046275395,-1.324734407,T1_K016_1,T1,Kup,11.436,1.774505363
-1.460496614,0.234907922,T1_K016_10,T1,Kup,9.215,3.861306799
0.625282167,-0.64825407,T1_K016_2,T1,Kup,11.063,2.679636055
-1.148984199,-0.307503321,T1_K016_3,T1,Kup,9.491,3.135560556
0.898419865,,T1_K016_4,T1,Kup,11.305,
0.77765237,-1.304510191,T1_K016_5,T1,Kup,11.198,1.801565364
0.243792325,-1.039902687,T1_K016_6,T1,Kup,10.725,2.155610205
-2.111738149,-0.702492282,T1_K016_7,T1,Kup,8.638,2.607065327
-0.861173815,-0.59919264,T1_K016_8,T1,Kup,9.746,2.745280248
0.354401806,-1.232850226,T1_K016_9,T1,Kup,10.823,1.897446397
-0.042889391,-0.844274254,T1_K017_1,T1,Kup,10.471,2.417361048
-2.514672686,-1.353861777,T1_K017_10,T1,Kup,8.281,1.735532942
-0.908577878,-1.177457751,T1_K017_2,T1,Kup,9.704,1.971561529
-1.976297968,-0.445149797,T1_K017_3,T1,Kup,8.758,2.951389571
-1.818284424,-0.895528725,T1_K017_4,T1,Kup,8.898,2.348782566
-1.655756208,-0.114193589,T1_K017_5,T1,Kup,9.042,3.394208978
-0.694130926,-0.813548031,T1_K017_6,T1,Kup,9.894,2.458472734
-2.272009029,-1.622549185,T1_K017_7,T1,Kup,8.496,1.376029191
-2.916478555,-0.348646036,T1_K017_8,T1,Kup,7.925,3.080511604
-0.230248307,0.006308756,T1_K017_9,T1,Kup,10.305,3.555441115
1.390519187,-0.721571399,T1_K019_1,T1,Kup,11.741,2.581537468
0.957110609,-1.19243849,T1_K019_10,T1,Kup,11.357,1.951517301
0.748306998,-1.239116307,T1_K019_2,T1,Kup,11.172,1.889062381
0.705417607,0.2588038,T1_K019_3,T1,Kup,11.134,3.893279485
-1.261851016,0.613628952,T1_K019_4,T1,Kup,9.391,4.368035538
1.12979684,-0.973507025,T1_K019_5,T1,Kup,11.51,2.244447601
1.113995485,-0.977508234,T1_K019_6,T1,Kup,11.496,2.239093983
0.757336343,-1.649485177,T1_K019_7,T1,Kup,11.18,1.339988833
0.474040632,-0.916982241,T1_K019_8,T1,Kup,10.929,2.320077762
0.902934537,-1.468065759,T1_K019_9,T1,Kup,11.309,1.582728015
2.029345372,0.804422792,T1_K020_1,T1,Kup,12.307,4.623317696
0.305869074,0.62778103,T1_K020_10,T1,Kup,10.78,4.386971018
0.869074492,-0.870177421,T1_K020_2,T1,Kup,11.279,2.382702611
1.562076749,0.0783007,T1_K020_3,T1,Kup,11.893,3.651766337
0.958239278,0.099456106,T1_K020_4,T1,Kup,11.358,3.68007227
0.521444695,0.69869298,T1_K020_5,T1,Kup,10.971,4.481851207
0.835214447,0.334458349,T1_K020_6,T1,Kup,11.249,3.994505271
1.215575621,-0.493464004,T1_K020_7,T1,Kup,11.586,2.886745162
-1.143340858,-0.722540258,T1_K020_8,T1,Kup,9.496,2.580241135
1.16027088,-0.615724032,T1_K020_9,T1,Kup,11.537,2.723161245
0.465011287,0.203705914,T1_K022_1,T1,Kup,10.921,3.819558513
-1.510158014,0.320392688,T1_K022_10,T1,Kup,9.171,3.975685417
-0.478555305,2.061425165,T1_K022_2,T1,Kup,10.085,6.305186871
-0.960496614,0.432550273,T1_K022_3,T1,Kup,9.658,4.125752265
1.059819413,0.594868472,T1_K022_4,T1,Kup,11.448,4.342934016
0.156884876,0.466238179,T1_K022_5,T1,Kup,10.648,4.170826683
-1.489841986,0.509770343,T1_K022_6,T1,Kup,9.189,4.229072719
-0.22234763,0.535388979,T1_K022_7,T1,Kup,10.312,4.263350454
0.801354402,-0.150536844,T1_K022_8,T1,Kup,11.219,3.345581703
-0.58013544,0.711498708,T1_K022_9,T1,Kup,9.995,4.498985271
-0.865688488,1.629689239,T1_K023_1,T1,Kup,9.742,5.727524202
-1.202031603,0.777446381,T1_K023_10,T1,Kup,9.444,4.587223258
-1.181715576,1.698048197,T1_K023_2,T1,Kup,9.462,5.818988488
-0.532731377,1.393244598,T1_K023_3,T1,Kup,10.037,5.411161272
-1.146726862,0.19991091,T1_K023_4,T1,Kup,9.493,3.814480798
-0.893905192,1.112425793,T1_K023_5,T1,Kup,9.717,5.035425711
-1.911963883,-0.345471278,T1_K023_6,T1,Kup,8.815,3.08475943
-1.029345372,0.511881709,T1_K023_7,T1,Kup,9.597,4.231897726
-0.723476298,0.834376173,T1_K023_8,T1,Kup,9.868,4.66339532
-1.451467269,0.817193444,T1_K023_9,T1,Kup,9.223,4.640404828
