z_length,z_yolk_vol,animal,treatment,population,length,yolk_vol
-1.094808126,0.489254524,T2_K007_6,T2,Kup,9.539,4.201622553
-0.183972912,-0.210082772,T2_K007_7,T2,Kup,10.346,3.265909251
-0.410835214,-0.194281697,T2_K007_8,T2,Kup,10.145,3.28705109
0.027088036,0.158249096,T2_K007_9,T2,Kup,10.533,3.758737291
-0.266365688,-0.134705284,T2_K008_1,T2,Kup,10.273,3.36676433
0.583521445,-1.534105141,T2_K008_10,T2,Kup,11.026,1.494367322
1.901805869,0.135469114,T2_K008_11,T2,Kup,12.194,3.728257675
0.433408578,-0.586327949,T2_K008_12,T2,Kup,10.893,2.762493204
0.742663657,-1.226855887,T2_K008_13,T2,Kup,11.167,1.905466823
1.238148984,-1.673376774,T2_K008_14,T2,Kup,11.606,1.308021876
-1.496613995,-0.655698261,T2_K008_2,T2,Kup,9.183,2.669675727
-0.985327314,-1.363669078,T2_K008_3,T2,Kup,9.636,1.722410773
-0.960496614,-1.26628647,T2_K008_4,T2,Kup,9.658,1.852708703
0.586907449,-0.673979281,T2_K008_5,T2,Kup,11.029,2.645215722
0.109480813,-0.83688589,T2_K008_6,T2,Kup,10.606,2.427246679
-0.688487585,-1.467190897,T2_K008_7,T2,Kup,9.899,1.58389858
0.410835214,-1.228740493,T2_K008_8,T2,Kup,10.873,1.90294522
0.341986456,-1.801969933,T2_K008_9,T2,Kup,10.812,1.135964229
0.346501129,-0.084324732,T2_K010_1,T2,Kup,10.816,3.434173509
0.528216704,-0.406299645,T2_K010_10,T2,Kup,10.977,3.003371075
0.309255079,0.169044586,T2_K010_2,T2,Kup,10.783,3.773181656
0.624153499,0.604897929,T2_K010_3,T2,Kup,11.062,4.356353429
-0.094808126,0.157610656,T2_K010_4,T2,Kup,10.425,3.757883058
0.14221219,-0.207032252,T2_K010_5,T2,Kup,10.635,3.269990847
-0.167042889,-1.091108794,T2_K010_6,T2,Kup,10.361,2.087096433
0.662528217,-0.752495045,T2_K010_7,T2,Kup,11.096,2.54016163
0.032731377,-0.445808616,T2_K010_8,T2,Kup,10.538,2.950508072
-0.560948081,-0.322738222,T2_K010_9,T2,Kup,10.012,3.115176259
0.176072235,0.268771573,T2_K011_1,T2,Kup,10.665,3.906616365
0.428893905,0.367927124,T2_K011_10,T2,Kup,10.889,4.039286492
0.610609481,0.680042244,T2_K011_2,T2,Kup,11.05,4.456896522
-0.130925508,1.445865928,T2_K011_3,T2,Kup,10.393,5.481568612
0.212189616,0.885933936,T2_K011_4,T2,Kup,10.697,4.732379607
-0.319413093,0.400715449,T2_K011_5,T2,Kup,10.226,4.083157271
0.090293454,0.194558682,T2_K011_6,T2,Kup,10.589,3.807319517
0.10496614,-0.4579278,T2_K011_7,T2,Kup,10.602,2.934292603
0.471783296,-0.30675377,T2_K011_8,T2,Kup,10.927,3.136563456
0.125282167,0.189147424,T2_K011_9,T2,Kup,10.62,3.800079253
0.048532731,1.686863375,T2_K013_1,T2,Kup,10.552,5.804023196
0.292325056,0.505394283,T2_K013_10,T2,Kup,10.768,4.223217551
0.505643341,1.884857921,T2_K013_11,T2,Kup,10.957,6.068939898
-0.102708804,2.074224742,T2_K013_12,T2,Kup,10.418,6.322312705
0.645598194,1.201693895,T2_K013_13,T2,Kup,11.081,5.154866432
0.329571106,1.062179358,T2_K013_14,T2,Kup,10.801,4.968195981
0.668171558,0.935077184,T2_K013_15,T2,Kup,11.101,4.798133272
-0.164785553,0.359714794,T2_K013_16,T2,Kup,10.363,4.028298394
-0.112866817,0.317774149,T2_K013_17,T2,Kup,10.409,3.972181811
-0.200902935,0.531629321,T2_K013_18,T2,Kup,10.331,4.258320031
0.205417607,-0.273380344,T2_K013_19,T2,Kup,10.691,3.1812171
-0.633182844,0.485776333,T2_K013_2,T2,Kup,9.948,4.196968733
0.091422122,0.211207481,T2_K013_20,T2,Kup,10.59,3.82959561
0.010158014,1.046020575,T2_K013_3,T2,Kup,10.518,4.94657553
-0.321670429,1.400897287,T2_K013_4,T2,Kup,10.224,5.42140057
-0.066591422,1.053788496,T2_K013_5,T2,Kup,10.45,4.956969007
-0.120767494,0.880169161,T2_K013_6,T2,Kup,10.402,4.724666338
-0.426636569,-0.255183443,T2_K013_7,T2,Kup,10.131,3.205564553
-0.266365688,-0.193220821,T2_K013_8,T2,Kup,10.273,3.288470542
-0.560948081,0.321892922,T2_K013_9,T2,Kup,10.012,3.977692729
0.317155756,0.287946343,T2_K014_1,T2,Kup,10.79,3.932272207
-1.291196388,-0.582502958,T2_K014_10,T2,Kup,9.365,2.767611042
-0.304740406,0.163375207,T2_K014_2,T2,Kup,10.239,3.765596027
-0.155756208,1.403528697,T2_K014_3,T2,Kup,10.371,5.424921396
0.22234763,-0.260043201,T2_K014_4,T2,Kup,10.706,3.199062197
-0.19751693,0.10576955,T2_K014_5,T2,Kup,10.334,3.688519658
-0.167042889,0.218937882,T2_K014_6,T2,Kup,10.361,3.839938886
0.226862302,0.006976321,T2_K014_7,T2,Kup,10.71,3.556334317
0.148984199,0.508857936,T2_K014_8,T2,Kup,10.641,4.227851919
-3.041760722,1.303195312,T2_K014_9,T2,Kup,7.814,5.290675327
0.744920993,-0.336820885,T2_K016_1,T2,Kup,11.169,3.096333656
0.171557562,-0.523491656,T2_K016_10,T2,Kup,10.661,2.846568164
0.050790068,0.155157918,T2_K016_2,T2,Kup,10.554,3.754601294
0.77765237,-0.685521428,T2_K016_3,T2,Kup,11.198,2.62977233
-0.189616253,-0.602286738,T2_K016_4,T2,Kup,10.341,2.741140344
0.460496614,-0.759518807,T2_K016_5,T2,Kup,10.917,2.530763836
0.190744921,-0.632339705,T2_K016_6,T2,Kup,10.678,2.700929475
-0.097065463,-0.657389338,T2_K016_7,T2,Kup,10.423,2.667413066
0.0248307,-0.797430766,T2_K016_8,T2,Kup,10.531,2.480037635
-0.41986456,-0.56939265,T2_K016_9,T2,Kup,10.137,2.785152634
1.089164786,-0.219068704,T2_K017_1,T2,Kup,11.474,3.253886074
0.707674944,-1.641799829,T2_K017_10,T2,Kup,11.136,1.350271829
0.699774266,-0.712759152,T2_K017_2,T2,Kup,11.129,2.593328255
1.179458239,-0.363002835,T2_K017_3,T2,Kup,11.554,3.061302207
1.03724605,-1.114419073,T2_K017_4,T2,Kup,11.428,2.05590728
1.717832957,-0.802691877,T2_K017_5,T2,Kup,12.031,2.472998269
1.239277652,-0.837634567,T2_K017_6,T2,Kup,11.607,2.426244949
0.984198646,-1.33208134,T2_K017_7,T2,Kup,11.381,1.764675167
1.409706546,-1.281307678,T2_K017_8,T2,Kup,11.758,1.832610327
0.851015801,-1.065440936,T2_K017_9,T2,Kup,11.263,2.121440027
0.658013544,0.507540948,T2_K019_1,T2,Kup,11.092,4.226089789
0.749435666,-0.198245685,T2_K019_10,T2,Kup,11.173,3.281747274
0.589164786,-0.153618769,T2_K019_2,T2,Kup,11.031,3.341458087
0.984198646,-0.17054873,T2_K019_3,T2,Kup,11.381,3.318805799
0.760722348,-0.035963817,T2_K019_4,T2,Kup,11.183,3.498880413
0.367945824,-0.107609398,T2_K019_5,T2,Kup,10.835,3.403018626
0.325056433,-0.406952853,T2_K019_6,T2,Kup,10.797,3.002497083
0.135440181,-0.781532488,T2_K019_7,T2,Kup,10.629,2.501309531
-0.496613995,0.004951472,T2_K019_8,T2,Kup,10.069,3.553625069
0.244920993,-0.67605824,T2_K019_9,T2,Kup,10.726,2.642434075
1.056433409,1.161504839,T2_K020_1,T2,Kup,11.445,5.101093475
-1.663656885,2.835779595,T2_K020_10,T2,Kup,9.035,7.341273098
0.585778781,0.970613232,T2_K020_2,T2,Kup,11.028,4.845680504
0.627539503,0.960413641,T2_K020_3,T2,Kup,11.065,4.832033452
0.817155756,1.028411978,T2_K020_4,T2,Kup,11.233,4.923015226
0.881489842,1.283904271,T2_K020_5,T2,Kup,11.29,5.264863915
0.594808126,1.16499924,T2_K020_6,T2,Kup,11.036,5.105768983
0.507900677,-0.102203004,T2_K020_7,T2,Kup,10.959,3.41025238
0.677200903,1.01116873,T2_K020_8,T2,Kup,11.109,4.899943761
0.652370203,0.071550829,T2_K020_9,T2,Kup,11.087,3.642735009
1.299097065,2.057353112,T2_K022_1,T2,Kup,11.66,6.299738464
0.483069977,1.447651739,T2_K022_10,T2,Kup,10.937,5.483958027
0.485327314,1.931072635,T2_K022_2,T2,Kup,10.939,6.130775186
0.303611738,1.802061069,T2_K022_3,T2,Kup,10.778,5.95815771
0.791196388,1.670715833,T2_K022_4,T2,Kup,11.21,5.782417784
0.376975169,0.757364919,T2_K022_5,T2,Kup,10.843,4.560354261
0.206546275,0.950252459,T2_K022_6,T2,Kup,10.692,4.81843779
0.616252822,0.510749895,T2_K022_7,T2,Kup,11.055,4.23038336
0.095936795,0.890159478,T2_K022_8,T2,Kup,10.594,4.738033381
-0.495485327,2.195237841,T2_K022_9,T2,Kup,10.07,6.484228231
0.159142212,-0.175156979,T2_K023_1,T2,Kup,10.65,3.312639962
0.823927765,-0.481519309,T2_K023_10,T2,Kup,11.239,2.902727164
-0.309255079,-0.07829599,T2_K023_2,T2,Kup,10.235,3.442239965
0.623024831,-0.00236975,T2_K023_3,T2,Kup,11.061,3.543829275
-0.094808126,0.028741119,T2_K023_4,T2,Kup,10.425,3.585455617
0.15462754,-0.120301164,T2_K023_5,T2,Kup,10.646,3.386037043
0.069977427,0.255543796,T2_K023_6,T2,Kup,10.571,3.888917599
0.120767494,-0.710280619,T2_K023_7,T2,Kup,10.616,2.596644532
-0.0496614,-0.906421947,T2_K023_8,T2,Kup,10.465,2.334207435
0.019187359,-1.518204351,T2_K023_9,T2,Kup,10.526,1.515642578
