"","location","alt.dpf","Treatment","family","indiv.1to15","adj_Length"
"2246","Kup",30,"T2","K2",9,"16.97"
"2247","Kup",40,"T2","K2",1,"21.813"
"2248","Kup",40,"T2","K2",2,"24.402"
"2249","Kup",40,"T2","K2",3,"22.6"
"2250","Kup",40,"T2","K2",4,"26.616"
"2251","Kup",40,"T2","K2",5,"22.486"
"2252","Kup",40,"T2","K2",6,"18.39"
"2325","Kup",25,"T2","K3",1,"15.309"
"2326","Kup",25,"T2","K3",2,"16.54548"
"2327","Kup",25,"T2","K3",3,"14.37996"
"2328","Kup",25,"T2","K3",4,"15.92052"
"2329","Kup",25,"T2","K3",5,"12.93432"
"2330","Kup",30,"T2","K3",1,"15.707"
"2331","Kup",30,"T2","K3",2,"16.443"
"2332","Kup",30,"T2","K3",3,"15.546"
"2333","Kup",30,"T2","K3",4,"17.362"
"2334","Kup",30,"T2","K3",5,"16.754"
"2335","Kup",30,"T2","K3",6,"18.648"
"2336","Kup",30,"T2","K3",7,"16.76"
"2337","Kup",30,"T2","K3",8,"17.469"
"2338","Kup",30,"T2","K3",9,"15.981"
"2339","Kup",30,"T2","K3",10,"16.235"
"2340","Kup",40,"T2","K3",1,"23.818"
"2341","Kup",40,"T2","K3",2,"25.52"
"2342","Kup",40,"T2","K3",3,"20.556"
"2343","Kup",40,"T2","K3",4,"21.081"
"2344","Kup",40,"T2","K3",5,"23.112"
"2407","Kup",25,"T2","K4",1,"14.11872"
"2408","Kup",25,"T2","K4",2,"16.21704"
"2409","Kup",25,"T2","K4",3,"15.1452"
"2410","Kup",25,"T2","K4",4,"15.07212"
"2411","Kup",25,"T2","K4",5,"15.49716"
"2412","Kup",35,"T2","K4",1,"16.6068"
"2413","Kup",35,"T2","K4",2,"18.5976"
"2414","Kup",35,"T2","K4",3,"18.3372"
"2415","Kup",35,"T2","K4",4,"18.3624"
"2416","Kup",35,"T2","K4",5,"19.4796"
"2417","Kup",40,"T2","K4",1,"22.825"
"2418","Kup",40,"T2","K4",2,"22.949"
"2419","Kup",40,"T2","K4",3,"21.374"
"2420","Kup",40,"T2","K4",4,"18.883"
"2421","Kup",40,"T2","K4",5,"18.158"
"2487","Kup",25,"T2","K5",1,"15.04104"
"2488","Kup",25,"T2","K5",2,"15.24012"
"2489","Kup",25,"T2","K5",3,"15.68364"
"2490","Kup",25,"T2","K5",4,"14.96628"
"2491","Kup",25,"T2","K5",5,"16.02468"
"2492","Kup",40,"T2","K5",1,"26.27"
"2493","Kup",40,"T2","K5",2,"18.007"
"2494","Kup",40,"T2","K5",3,"22.372"
"2495","Kup",40,"T2","K5",4,"24.795"
"2496","Kup",40,"T2","K5",5,"16.323"
"2525","Kup",25,"T2","K6",1,"16.19604"
"2526","Kup",25,"T2","K6",2,"14.5656"
"2527","Kup",25,"T2","K6",3,"16.07004"
"2528","Kup",25,"T2","K6",4,"15.92472"
"2529","Kup",25,"T2","K6",5,"15.414"
"2530","Kup",30,"T2","K6",1,"15.59796"
"2531","Kup",30,"T2","K6",2,"15.11412"
"2532","Kup",30,"T2","K6",3,"16.42116"
"2533","Kup",30,"T2","K6",4,"14.73192"
"2534","Kup",30,"T2","K6",5,"17.09568"
"2535","Kup",35,"T2","K6",1,"21.9828"
"2536","Kup",35,"T2","K6",2,"15.9264"
"2537","Kup",35,"T2","K6",3,"16.506"
"2538","Kup",35,"T2","K6",4,"17.934"
"2539","Kup",40,"T2","K6",1,"18.18516"
"2540","Kup",40,"T2","K6",2,"26.8968"
"2606","Kup",25,"T2","K7",1,"16.04148"
"2607","Kup",25,"T2","K7",2,"16.07256"
"2608","Kup",25,"T2","K7",3,"16.24224"
"2609","Kup",25,"T2","K7",4,"15.83484"
"2610","Kup",25,"T2","K7",5,"15.29976"
"2611","Kup",30,"T2","K7",1,"18.5141"
"2612","Kup",30,"T2","K7",2,"17.6384"
"2613","Kup",30,"T2","K7",3,"19.1822"
"2614","Kup",30,"T2","K7",4,"18.3115"
"2615","Kup",30,"T2","K7",5,"19.7103"
"2616","Kup",30,"T2","K7",6,"16.4532"
"2617","Kup",30,"T2","K7",7,"18.5289"
"2618","Kup",30,"T2","K7",8,"16.678"
"2619","Kup",30,"T2","K7",9,"17.7134"
"2620","Kup",30,"T2","K7",10,"15.2166"
"2621","Kup",35,"T2","K7",1,"19.16"
"2622","Kup",35,"T2","K7",2,"21.815"
"2623","Kup",35,"T2","K7",3,"18.83"
"2624","Kup",35,"T2","K7",4,"19.394"
"2625","Kup",35,"T2","K7",5,"18.916"
"2626","Kup",40,"T2","K7",1,"25.535"
"2627","Kup",40,"T2","K7",2,"25.389"
"2628","Kup",40,"T2","K7",3,"25.464"
"2629","Kup",40,"T2","K7",4,"23.137"
"2630","Kup",40,"T2","K7",5,"22.081"
"2716","Kup",25,"T2","K8",1,"16.08264"
"2717","Kup",25,"T2","K8",2,"15.36444"
"2718","Kup",25,"T2","K8",3,"16.54968"
"2719","Kup",25,"T2","K8",4,"15.36864"
"2720","Kup",25,"T2","K8",5,"15.09228"
"2721","Kup",30,"T2","K8",1,"19.378"
"2722","Kup",30,"T2","K8",2,"17.332"
"2723","Kup",30,"T2","K8",3,"17.571"
"2724","Kup",30,"T2","K8",4,"16.373"
"2725","Kup",30,"T2","K8",5,"18.71"
"2726","Kup",30,"T2","K8",6,"18.29"
"2727","Kup",30,"T2","K8",7,"16.867"
"2728","Kup",30,"T2","K8",8,"17.812"
"2729","Kup",30,"T2","K8",9,"17.526"
"2730","Kup",30,"T2","K8",10,"17.616"
"2731","Kup",35,"T2","K8",1,"18.696"
"2732","Kup",35,"T2","K8",1,"22.928"
"2733","Kup",35,"T2","K8",2,"17.355"
"2734","Kup",35,"T2","K8",2,"21.851"
"2735","Kup",35,"T2","K8",3,"18.761"
"2736","Kup",35,"T2","K8",3,"23.76"
"2737","Kup",35,"T2","K8",4,"15.86"
"2738","Kup",35,"T2","K8",4,"20.034"
"2739","Kup",35,"T2","K8",5,"19.904"
"2740","Kup",35,"T2","K8",5,"18.407"
"2798","Kup",25,"T2","K9",1,"14.94276"
"2799","Kup",25,"T2","K9",2,"15.16788"
"2800","Kup",25,"T2","K9",3,"14.52276"
"2801","Kup",25,"T2","K9",4,"15.82308"
"2802","Kup",25,"T2","K9",5,"16.233"
"2803","Kup",30,"T2","K9",1,"15.525"
"2804","Kup",30,"T2","K9",2,"16.517"
"2805","Kup",30,"T2","K9",3,"16.326"
"2806","Kup",30,"T2","K9",4,"15.908"
"2807","Kup",30,"T2","K9",5,"16.618"
"2808","Kup",30,"T2","K9",6,"16.29"
"2809","Kup",30,"T2","K9",7,"16.555"
"2810","Kup",30,"T2","K9",8,"12.984"
"2811","Kup",30,"T2","K9",9,"15.693"
"2812","Kup",30,"T2","K9",10,"16.684"
"2813","Kup",40,"T2","K9",1,"22.253"
"2814","Kup",40,"T2","K9",2,"18.375"
"2815","Kup",40,"T2","K9",3,"20.003"
"2816","Kup",40,"T2","K9",4,"21.084"
"2817","Kup",40,"T2","K9",5,"19.929"
"3035","Kup",25,"T3","K16",1,"16.5312"
"3036","Kup",25,"T3","K16",2,"15.07464"
"3037","Kup",25,"T3","K16",3,"17.08056"
"3038","Kup",25,"T3","K16",4,"16.08768"
"3039","Kup",25,"T3","K16",5,"16.16664"
"3040","Kup",25,"T3","K16",6,"15.29136"
"3041","Kup",25,"T3","K16",7,"15.23424"
"3042","Kup",30,"T3","K16",1,"18.11712"
"3043","Kup",30,"T3","K16",2,"17.15616"
"3044","Kup",30,"T3","K16",3,"21.92736"
"3045","Kup",30,"T3","K16",4,"19.16292"
"3046","Kup",30,"T3","K16",5,"17.65932"
"3047","Kup",35,"T3","K16",1,"18.1944"
"3048","Kup",35,"T3","K16",2,"18.8076"
"3049","Kup",35,"T3","K16",3,"15.498"
"3050","Kup",35,"T3","K16",4,"23.6124"
"3051","Kup",35,"T3","K16",5,"16.6656"
"3052","Kup",35,"T3","K16",6,"22.0416"
"3053","Kup",40,"T3","K16",1,"19.6518"
"3054","Kup",40,"T3","K16",2,"18.29772"
"3055","Kup",40,"T3","K16",3,"20.7774"
"3056","Kup",40,"T3","K16",4,"18.9798"
"3057","Kup",40,"T3","K16",5,"20.06676"
"3083","Kup",25,"T3","K2",1,"17.23512"
"3084","Kup",25,"T3","K2",2,"16.1784"
"3085","Kup",25,"T3","K2",3,"13.57944"
"3086","Kup",25,"T3","K2",4,"15.53328"
"3087","Kup",30,"T3","K2",1,"16.84284"
"3088","Kup",30,"T3","K2",2,"20.70684"
"3089","Kup",30,"T3","K2",3,"15.75504"
"3090","Kup",35,"T3","K2",1,"23.7552"
"3091","Kup",40,"T3","K2",1,"27.54108"
"3118","Kup",30,"T3","K3",1,"16.47996"
"3119","Kup",30,"T3","K3",1,"16.08096"
"3120","Kup",30,"T3","K3",2,"20.26668"
"3121","Kup",30,"T3","K3",2,"19.46952"
"3122","Kup",30,"T3","K3",3,"15.81552"
"3123","Kup",30,"T3","K3",3,"15.41232"
"3199","Kup",25,"T3","K4",1,"13.74996"
"3200","Kup",25,"T3","K4",2,"14.1078"
"3201","Kup",25,"T3","K4",3,"13.77516"
"3202","Kup",25,"T3","K4",4,"14.28588"
"3203","Kup",25,"T3","K4",5,"12.89484"
"3204","Kup",25,"T3","K4",6,"14.049"
"3205","Kup",30,"T3","K4",1,"14.637"
"3206","Kup",30,"T3","K4",2,"15.51732"
"3207","Kup",30,"T3","K4",3,"14.62524"
"3208","Kup",30,"T3","K4",4,"15.29892"
"3209","Kup",30,"T3","K4",5,"15.22416"
"3210","Kup",30,"T3","K4",6,"17.84244"
"3211","Kup",40,"T3","K4",1,"22.78668"
"3212","Kup",40,"T3","K4",2,"21.87612"
"3213","Kup",40,"T3","K4",3,"23.04708"
"3214","Kup",40,"T3","K4",4,"19.2612"
"3273","Kup",25,"T3","K5",1,"16.86636"
"3274","Kup",25,"T3","K5",2,"14.86464"
"3275","Kup",25,"T3","K5",3,"16.23804"
"3276","Kup",25,"T3","K5",4,"15.97008"
